State/Region,No. of facilities,Total no. of quaranitine people,Date,Remark
Shan (N),208,1260,15/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 10 (15-4-2020)
Ayeyarwaddy,208,1059,15/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 10 (15-4-2020)
Naypyitaw,3,976,15/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 10 (15-4-2020)
Shan (E),21,935,15/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 10 (15-4-2020)
Tanintharyi,228,845,15/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 10 (15-4-2020)
Rakhine,139,737,15/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 10 (15-4-2020)
Kayar,15,161,15/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 10 (15-4-2020)
Chin,17,83,15/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 10 (15-4-2020)
Magway,1880,10299,16/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 11 (16-4-2020)
Bago,751,5405,16/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 11 (16-4-2020)
Sagaing,1446,4637,16/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 11 (16-4-2020)
Mandalay,765,4364,16/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 11 (16-4-2020)
Kachin,289,3286,16/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 11 (16-4-2020)
Kayin,420,3172,16/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 11 (16-4-2020)
Yangon,78,2622,16/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 11 (16-4-2020)
Mon,486,1826,16/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 11 (16-4-2020)
Shan (S),218,1643,16/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 11 (16-4-2020)
Shan (N),208,1260,16/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 11 (16-4-2020)
Naypyitaw,3,986,16/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 11 (16-4-2020)
Ayeyarwaddy,208,976,16/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 11 (16-4-2020)
Shan (E),21,935,16/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 11 (16-4-2020)
Tanintharyi,228,807,16/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 11 (16-4-2020)
Rakhine,136,806,16/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 11 (16-4-2020)
Kayar,15,165,16/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 11 (16-4-2020)
Chin,17,94,16/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 11 (16-4-2020)
